gender,points,badges_cnt,user_grade,user_city,has_teacher_cnt,is_self_coach,has_student_cnt,belongs_to_class_cnt,has_class_cnt,total_sec_taken,is_correct
no_value,11382,1,3,tp,0,0,0,0,0,40.1764705882353,1
no_value,2775,0,3,tc,0,0,0,0,0,68.0,0
male,93305,7,4,tc,1,0,0,1,0,28.57787810383747,1
male,20058,1,4,ty,1,0,0,0,0,53.24545454545454,1
no_value,45075,9,4,cy,1,0,0,1,0,76.15567282321899,1
female,71469,1,4,tp,0,0,0,0,0,43.48648648648648,1
male,4200,0,4,ntpc,0,0,0,0,0,18.2972972972973,1
male,101019,7,4,tp,0,0,0,0,0,25.49324324324324,1
no_value,300,0,4,ntpc,0,0,0,0,0,55.5,1
no_value,2168,0,4,ptc,1,0,0,0,0,9.77777777777778,1
no_value,86005,7,4,cy,1,0,0,1,0,41.60980392156863,1
no_value,4821,0,4,tp,0,0,0,0,0,39.30769230769231,1
no_value,21825,1,5,tc,1,0,0,1,0,97.61458333333331,1
male,46714,4,5,ty,0,0,0,0,0,34.93,1
unspecified,13207,2,5,tc,0,0,0,0,0,30.01960784313725,1
no_value,33330,2,5,ml,1,0,0,1,0,58.07070707070707,1
female,21612,3,5,kh,0,0,0,0,0,38.36585365853659,1
no_value,3210,0,5,tp,0,0,0,0,0,39.4,1
no_value,1275,0,5,kh,0,0,0,0,0,53.57142857142857,1
male,104820,3,5,tp,1,0,0,1,0,87.479427549195,1
no_value,30241,9,5,tp,0,0,0,0,0,73.82692307692308,1
no_value,8055,0,5,hlc,1,0,0,1,0,48.51111111111111,1
no_value,40298,6,6,kh,1,0,0,2,0,37.59701492537314,0
unspecified,1200,0,6,tc,1,0,0,1,1,33.166666666666664,1
no_value,9960,0,6,tc,0,0,0,0,0,37.41025641025641,1
no_value,12047,5,6,cy,0,0,0,0,0,118.95555555555556,1
no_value,16115,8,7,kh,1,0,0,1,0,135.2,1
no_value,20885,5,7,tp,1,0,0,1,0,79.83720930232558,1
female,7717,0,7,tc,0,0,0,0,0,9.24,1
no_value,69592,14,7,tp,0,0,0,0,0,66.22413793103448,1
